id_produto,nome_produto,categoria_produto,preco,quantidade,id_cliente,data_pedido,regiao
1,Camiseta,Roupas,50,10,1234567890,2023-07-20,SP
2,Calça,Roupas,100,20,9876543210,2023-07-21,RJ
3,Sapato,Calçados,200,5,4567890123,2023-07-22,MG
4,Camisa,Roupas,70,15,1234567890,2023-07-23,SP
5,Shorts,Roupas,80,25,9876543210,2023-07-24,RJ
6,Sandália,Calçados,150,10,4567890123,2023-07-25,MG
7,Blusa,Roupas,60,20,1234567890,2023-07-26,SP
8,Bermuda,Roupas,90,30,9876543210,2023-07-27,RJ
9,Bota,Calçados,180,15,4567890123,2023-07-28,MG
10,Chapéu,Acessórios,25,50,1234567890,2023-07-29,SP
11,Jaqueta,Roupas,120,10,9876543210,2023-07-30,RJ
12,Chinelo,Calçados,40,40,4567890123,2023-07-31,MG
13,Vestido,Roupas,90,20,1234567890,2023-08-01,SP
14,Calçado Esportivo,Calçados,250,8,9876543210,2023-08-02,RJ
15,Óculos de Sol,Acessórios,35,30,4567890123,2023-08-03,MG
16,Saia,Roupas,65,15,1234567890,2023-08-04,SP
17,Tênis,Calçados,180,10,9876543210,2023-08-05,RJ
18,Colar,Acessórios,20,40,4567890123,2023-08-06,MG
19,Polo Shirt,Roupas,75,20,1234567890,2023-08-07,SP
20,Boné,Acessórios,15,50,9876543210,2023-08-08,RJ
21,Regata,Roupas,40,30,4567890123,2023-08-09,MG
22,Saída de Praia,Roupas de Banho,90,15,1234567890,2023-08-10,SP
23,Sandália Havaiana,Calçados,20,60,9876543210,2023-08-11,RJ
24,Brinco,Acessórios,10,80,4567890123,2023-08-12,MG
25,Jaqueta de Couro,Roupas,200,5,1234567890,2023-08-13,SP
26,Chapéu Panamá,Acessórios,30,40,9876543210,2023-08-14,RJ
27,Shorts Jeans,Roupas,60,20,4567890123,2023-08-15,MG
28,Chinelo Slide,Calçados,25,50,1234567890,2023-08-16,SP
29,Óculos de Leitura,Acessórios,15,70,9876543210,2023-08-17,RJ
30,Vestido de Festa,Roupas,180,10,4567890123,2023-08-18,MG
31,Tênis de Corrida,Calçados,120,15,1234567890,2023-08-19,SP
32,Camiseta Listrada,Roupas,35,25,9876543210,2023-08-20,RJ
33,Bracelete,Acessórios,20,60,4567890123,2023-08-21,MG
34,Saia Longa,Roupas,80,15,1234567890,2023-08-22,SP
35,Sandália de Salto,Calçados,75,10,9876543210,2023-08-23,RJ
36,Relógio de Pulso,Acessórios,70,20,4567890123,2023-08-24,MG
37,Biquíni,Roupas de Banho,45,30,1234567890,2023-08-25,SP
38,Chapéu Fedora,Acessórios,30,25,9876543210,2023-08-26,RJ
39,Blusa de Manga Longa,Roupas,55,15,4567890123,2023-08-27,MG
40,Sapatilha,Calçados,40,35,1234567890,2023-08-28,SP